mallows,peach2,lamp,mos,pipe,coc,peach,flowers,ic,raccoon,res,per,ceb,umbrella,puebla,gr,bjork2,ic2,agra,blossom,thread,gar,banana,plumas,nemo,flo,heart,jap,van,hazelnuts,tibet,morr,tropical,throne,kies,bjork,matcha,gf,cacti,reflection,bal,window,sea,holo,pf,bee,nuez,pan,jean,offensive-cute-greeting-cards-phil-wall-1
43.0,19.0,17.0,24.0,12.0,10.0,18.0,19.0,16.0,19.0,23.0,31.0,21.0,9.0,12.0,23.0,87.0,19.0,13.0,34.0,22.0,16.0,22.0,25.0,25.0,23.0,17.0,24.0,22.0,26.0,12.0,12.0,18.0,30.0,26.0,24.0,49.0,29.0,34.0,14.0,19.0,43.0,7.0,11.0,11.0,22.0,23.0,23.0,69.0,40.0
32.0,8.0,47.0,8.0,29.0,11.0,16.0,26.0,11.0,27.0,24.0,20.0,18.0,40.0,20.0,19.0,3.0,21.0,27.0,14.0,20.0,28.0,18.0,19.0,9.0,11.0,41.0,17.0,14.0,14.0,15.0,7.0,10.0,11.0,16.0,15.0,15.0,5.0,12.0,37.0,27.0,14.0,29.0,31.0,36.0,16.0,20.0,20.0,5.0,3.0
20.0,14.0,6.0,12.0,16.0,47.0,26.0,7.0,19.0,15.0,13.0,29.0,8.0,16.0,14.0,19.0,3.0,19.0,12.0,19.0,11.0,13.0,21.0,5.0,35.0,19.0,20.0,22.0,22.0,19.0,15.0,26.0,52.0,21.0,2.0,34.0,15.0,12.0,27.0,15.0,20.0,9.0,3.0,8.0,6.0,17.0,16.0,20.0,12.0,6.0
5.0,19.0,10.0,16.0,8.0,7.0,23.0,16.0,17.0,21.0,16.0,10.0,20.0,16.0,23.0,20.0,4.0,17.0,8.0,25.0,17.0,14.0,11.0,25.0,1.0,24.0,11.0,27.0,21.0,23.0,21.0,12.0,8.0,32.0,17.0,9.0,21.0,22.0,8.0,6.0,21.0,7.0,21.0,22.0,25.0,8.0,13.0,19.0,8.0,45.0
,9.0,19.0,29.0,12.0,26.0,10.0,16.0,13.0,18.0,6.0,10.0,16.0,20.0,11.0,20.0,3.0,24.0,26.0,8.0,29.0,18.0,7.0,19.0,26.0,22.0,11.0,10.0,21.0,12.0,20.0,2.0,12.0,5.0,37.0,18.0,,32.0,19.0,27.0,13.0,17.0,27.0,20.0,22.0,7.0,27.0,18.0,5.0,1.0
,11.0,,11.0,23.0,,6.0,16.0,25.0,,19.0,,11.0,,20.0,,,,14.0,,,11.0,22.0,7.0,4.0,,,,,6.0,17.0,25.0,,,2.0,,,,,,,8.0,12.0,8.0,,26.0,,,,5.0
,20.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,3.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
