name,post_id,post_date,p_color,tags
edc9df272ba8f3408a6e0b8adca77aab,id619491620867522561,"2020-05-29, 00:00:00 GMT","(2, 2, 2)","rgb,colors,python,rgb: (2 2 2),balloon, black"
8bffe092134cac84ac5affab4fb9b738,id619491656522137600,"2020-05-28, 00:00:00 GMT","(8, 5, 4)","rgb,colors,python,rgb: (8 5 4),window, autumn, cat"
2c27fde2ab88cfa75ff0ec8af468c03a,id619491682280505344,"2020-05-27, 00:00:00 GMT","(12, 4, 4)","rgb,colors,python,rgb: (12 4 4),red, theater, chair, armchair"
d737259b476c60f33b9c0a6e36b962de,id619491693970997248,"2020-05-26, 00:00:00 GMT","(20, 5, 4)","rgb,colors,python,rgb: (20 5 4),car, rusty, old, rust"
eb3793fe21d9ea837eb5e1f619bda67b,id619491715270754304,"2020-05-25, 00:00:00 GMT","(21, 10, 7)","rgb,colors,python,rgb: (21 10 7),artichoke"
41bad729417d7af185e7489178310dfa,id619491724720521216,"2020-05-24, 00:00:00 GMT","(17, 14, 10)","rgb,colors,python,rgb: (17 14 10),papaya"
agra,id619491734827728897,"2020-05-23, 00:00:00 GMT","(43, 8, 7)","rgb,colors,python,rgb: (43 8 7),agra, india"
59551ed285befcb00e9d52a65a005f2a,id619491750581518336,"2020-05-22, 00:00:00 GMT","(32, 20, 11)","rgb,colors,python,rgb: (32 20 11),longplay, music, vintage"
mandm,id619491770248691712,"2020-05-21, 00:00:00 GMT","(51, 24, 24)","rgb,colors,python,rgb: (51 24 24),m&m, sweet, chocolate, mandm"
2ced5b9e3a461eddadaefbcb3a48f7e4,id619491789509984256,"2020-05-20, 00:00:00 GMT","(38, 30, 24)","rgb,colors,python,rgb: (38 30 24),door, home, plants"
f90d03c14377bb18e26081ee8eecd20d,id619491814565675008,"2020-05-19, 00:00:00 GMT","(38, 31, 24)","rgb,colors,python,rgb: (38 31 24),apricot, fruit"
7cb42d4b9c922e42e320d444bae3aeef,id619491833897238528,"2020-05-18, 00:00:00 GMT","(45, 30, 27)","rgb,colors,python,rgb: (45 30 27),stair, flower"
raccoon,id619491841938767872,"2020-05-17, 00:00:00 GMT","(36, 34, 34)","rgb,colors,python,rgb: (36 34 34),racoon"
1ac16d30075fa0376a1b09746bb10d78,id619491854426193920,"2020-05-16, 00:00:00 GMT","(63, 30, 17)","rgb,colors,python,rgb: (63 30 17),autumn, trees, leaves"
peach2,id619491859621937152,"2020-05-15, 00:00:00 GMT","(83, 27, 22)","rgb,colors,python,rgb: (83 27 22),peach"
fcdcaec392bea800e9e877c24acccca4,id619491877192941568,"2020-05-14, 00:00:00 GMT","(103, 40, 15)","rgb,colors,python,rgb: (103 40 15),hedgehog, autumn"
c96ef05a5cb7423c9a29873ae792a231,id619491901584850944,"2020-05-13, 00:00:00 GMT","(109, 40, 23)","rgb,colors,python,rgb: (109 40 23),autumn, plaid, cozy"
plumas,id619491910332153856,"2020-05-12, 00:00:00 GMT","(129, 38, 36)","rgb,colors,python,rgb: (129 38 36),feather"
a5231680454b32cf7c34d19d7f55bf91,id619491927285514240,"2020-05-11, 00:00:00 GMT","(101, 59, 35)","rgb,colors,python,rgb: (101 59 35),camel"
erizo,id619491942874710016,"2020-05-10, 00:00:00 GMT","(73, 67, 63)","rgb,colors,python,rgb: (73 67 63),sea, urchin"
shining,id619491954342920192,"2020-05-09, 00:00:00 GMT","(102, 61, 31)","rgb,colors,python,rgb: (102 61 31),shinning, movies"
puebla,id619491988952236032,"2020-05-08, 00:00:00 GMT","(189, 45, 14)","rgb,colors,python,rgb: (189 45 14),fountain"
peach,id619491993214697472,"2020-05-07, 00:00:00 GMT","(178, 54, 52)","rgb,colors,python,rgb: (178 54 52),peach"
9997722fca0d9535d58ed23bb43a49ad,id619492024659443712,"2020-05-06, 00:00:00 GMT","(139, 73, 8)","rgb,colors,python,rgb: (139 73 8),babaganush, eggplant, dip, food"
flo,id619492032660062208,"2020-05-05, 00:00:00 GMT","(125, 72, 69)","rgb,colors,python,rgb: (125 72 69),flower"
